Dish Name,Category,Calories (kcal),Carbohydrates (g),Protein (g),Fats (g)
Spinach peanut namak paras (Palak moongfali namak paras),Veg,740.16,6.62,1.65,78.51
Gram flour and semolina chilla/cheela,Veg,758.89,7.63,2.08,80.04
Rice moong dal cheela,Veg,798.26,11.13,2.74,82.44
Split bengal gram sweet rice (Channa dal sweet rice),Veg,190.21,41.07,4.15,0.64
Sweet poori (Meethi poori),Veg,782.75,14.26,2.12,79.63
Wheat flour and moong dal burfi,Veg,441.08,60.0,9.84,18.41
Spinach burfi (Palak burfi),Veg,121.17,12.76,2.71,6.81
Sweet split chickpea roti,Veg,366.59,62.66,9.51,7.93
Sprouted moong daliya,Veg,111.56,14.77,2.81,4.71
Sprouted moong poha,Veg,192.6,26.6,5.59,6.89
Pearl millet ladoo (Bajra ladoo),Veg,319.66,50.98,9.61,8.06
Paushtik ladoo,Veg,485.87,60.34,7.65,24.98
Paushtik roti,Veg,149.26,26.59,7.17,1.51
Semolina carrot vada (Suji gajar vada),Veg,699.53,6.52,1.56,74.07
Dhokla,Veg,216.49,30.68,13.45,5.28
Kashmiri tea (Kehwa),Veg,24.9,5.23,0.17,0.51
Steeped hot coffee,Veg,15.91,3.01,0.39,0.33
Hot chocolate,Veg,90.01,9.02,3.43,4.61
Cold coffee (with cream),Veg,82.76,11.98,1.93,3.29
Banana milkshake with ice cream (Kele ka milkshake ice cream ke saath),Veg,76.45,11.15,2.01,2.77
Flavoured milkshake,Veg,66.78,8.65,2.06,2.83
Jal jeera,Veg,30.24,6.7,0.44,0.26
Gingo,Veg,48.02,12.42,0.14,0.06
Mintade,Veg,40.32,10.59,0.03,0.02
Canjee,Veg,6.61,0.44,0.24,0.42
Cauliflower canjee (Phoolgobhi ki canjee),Veg,6.9,0.35,0.39,0.42
Potato canjee (Aloo canjee),Veg,16.26,2.69,0.44,0.39
Vermicelli porridge (Semiya/Seviyan porridge),Veg,78.4,10.56,2.5,2.98
Semolina upma (Suji/Rava upma),Veg,147.89,16.31,3.3,7.49
Vermicelli upma (Semiya/Seviyan upma),Veg,149.11,16.88,3.11,7.45
Rice upma,Veg,151.27,17.96,2.63,7.46
Bread upma,Veg,129.51,12.6,2.8,7.75
Vegetable upma,Veg,146.47,16.46,4.73,6.63
Poha,Veg,294.53,35.05,6.09,14.14
Vegetable poha,Veg,180.52,21.52,4.89,8.07
Moong dal stuffed cheela/chilla (Moong dal ka cheela/chilla),Veg,154.89,19.42,6.97,5.11
Paneer stuffed cheela/chilla,Veg,205.19,19.16,11.44,8.89
Indian style egg bhujia (Anda bhujia (Indian style)),Egg,102.83,3.76,6.1,7.02
French omelette/omlet,Egg,211.04,0.41,10.03,18.86
Puffy omelette/omlet,Egg,188.15,0.08,8.82,16.84
Orange omelette/omlet,Egg,194.66,1.68,8.93,16.84
Cheese and mushroom omelette/omlet,Egg,205.63,1.68,9.69,17.82
Spanish omelette/omlet,Egg,157.45,5.1,8.25,11.44
Mixed stock,Veg,25.19,0.33,2.06,1.71
Meat stock,Non-Veg,24.48,0.0,2.1,1.78
White stock,Veg,6.99,0.4,0.07,0.56
Meat consomme (with mutton),Non-Veg,29.76,0.51,14.86,13.68
Consomme au julienne,Veg,27.76,1.49,12.49,10.66
Consomme au vermicelli,Veg,29.94,1.3,15.23,12.98
Green pea soup (Matar ka soup),Veg,39.81,3.63,11.06,12.9
Spinach soup (Palak ka soup),Veg,32.59,3.03,10.54,14.26
Mixed vegetable soup,Veg,35.71,2.95,8.22,11.66
Cheese soup,Veg,41.13,1.87,12.39,17.07
Mulligatawny soup,Non-Veg,54.42,8.24,11.26,13.28
Cream of carrot soup,Veg,59.77,5.69,8.27,12.35
Cream of broccoli soup,Veg,56.14,3.72,8.97,12.75
Cream of potato soup,Veg,60.2,6.14,8.1,12.05
Almond soup (Badam ka soup),Veg,78.65,3.68,10.13,13.8
Cold cucumber cream soup,Veg,11.88,1.76,0.34,0.34
Cold tomato soup,Veg,16.9,0.59,0.11,1.56
Chicken stew,Non-Veg,127.55,4.44,7.19,8.91
Veg paneer stew,Veg,145.55,10.22,6.98,8.41
Onion-green chilli parantha/paratha,Veg,191.27,26.37,4.37,7.27
Methi parantha/paratha,Veg,148.36,22.19,4.27,4.34
Bathua poori,Veg,598.79,13.85,2.35,59.14
Gram flour poori (Besan poori),Veg,697.66,10.93,2.59,71.51
Beetroot poori (Chukandar ki poori),Veg,527.66,12.29,1.91,52.18
Peas poori (Matar ki poori),Veg,592.83,14.92,3.04,57.69
Peas kachori (Matar kachori),Veg,584.68,13.25,3.21,57.51
Pizza,Veg,146.77,9.94,6.85,8.72
Bacon and mushroom pancake,Non-Veg,157.67,8.47,6.82,10.6
Cheese and tomato pancake,Veg,147.39,10.66,5.15,9.28
Minced meat pancake (with chicken),Non-Veg,116.04,8.18,12.01,10.48
Eggplant/Brinjal rice (Vangi bhat),Veg,184.8,31.74,5.28,3.67
Kashmiri 'tahar',Veg,98.21,19.11,1.95,1.37
Cumin pulao (Jeera/Zeera pulao),Veg,135.24,23.61,2.47,3.2
Peas pulao (Matar pulao),Veg,108.87,18.42,3.89,1.9
Split bengal gram dal and vegetable pulao,Veg,116.53,19.72,3.6,2.3
Black channa pulao/ Bengal gram pulao,Veg,125.51,21.55,3.44,2.58
Mutton pulao,Non-Veg,130.77,11.26,6.52,10.78
Chicken pulao,Non-Veg,108.24,11.17,6.07,8.48
Mexican rice,Veg,120.57,14.21,4.62,4.88
Plain khitchdi (Plain khichri/khichdi),Veg,57.03,10.04,1.72,1.01
Instant idli (with semolina),Veg,247.29,43.4,9.16,3.61
Plain dosa,Veg,380.91,64.08,10.34,8.43
Masala dosa mixed vegetable fillings,Veg,144.53,23.02,4.84,3.26
Masala dosa paneer fillings,Veg,243.12,29.76,10.31,8.84
Uttapam,Veg,255.95,36.28,6.18,9.03
Appam,Veg,267.7,13.28,3.12,22.63
Beans and macaroni,Veg,136.08,14.24,4.58,7.01
Spaghetti bolognese,Non-Veg,97.43,10.04,9.35,9.51
Meat and macaroni casserole,Non-Veg,161.55,16.12,9.15,10.17
Spaghetti with meat balls and tomato sauce,Non-Veg,158.13,10.46,5.61,10.64
Spaghetti with paneer balls and tomato sauce,Veg,158.54,12.72,3.95,10.44
Lasagne with meat sauce,Non-Veg,63.38,5.38,2.9,3.43
Lasagne with vegetables,Veg,49.23,5.9,1.71,2.16
Home made egg noodles,Egg,240.84,42.92,6.55,4.37
Sour lentils (Khatti dal),Veg,34.79,6.04,2.22,0.12
Urad special dehusked,Veg,69.43,8.86,3.14,2.17
Arhar with spinach,Veg,52.84,4.77,2.05,2.76
Moong dal with vadi,Veg,24.08,1.0,0.4,2.05
Rasam with tamarind,Veg,26.74,3.37,1.13,0.88
Rasam with lemon,Veg,24.41,2.85,1.11,0.87
Green gram whole with baghar,Veg,63.43,6.8,3.23,2.48
Urad sabut special,Veg,79.39,5.03,2.33,5.46
Kabuli channa curry,Veg,68.57,7.63,2.92,3.06
Besan gatte curry,Veg,189.38,16.26,7.75,10.72
Dry masala chops,Non-Veg,135.07,3.3,9.08,9.54
Mutton korma,Non-Veg,115.64,2.53,7.09,8.54
Shahi keema kofta curry,Non-Veg,418.13,1.73,4.14,43.83
Minced meat ball curry,Non-Veg,109.79,2.86,6.82,7.85
Boti kebab,Non-Veg,132.86,3.06,9.22,9.27
Mutton seekh kebab,Non-Veg,133.94,3.11,11.25,8.43
Indian lamb and egg curry (Nargisi kofta),Non-Veg,335.75,2.07,3.84,34.7
Soya chunks sweet and sour,Veg,500.94,3.27,2.85,55.99
Soya chunks korma (Nutrinugget korma),Veg,131.43,7.67,3.86,9.5
Mushroom matar,Veg,70.77,5.33,2.79,4.11
Soya chunks and peas (Nutrinugget matar),Veg,82.62,5.82,3.03,5.11
Vegetable yakhni,Veg,406.06,1.94,1.18,43.8
Spinach mushroom (Palak mushroom),Veg,47.63,2.95,1.94,2.96
Vegetarian nargisi kofta curry,Egg,332.15,6.58,2.29,32.94
Roast chicken,Non-Veg,199.9,0.1,20.49,13.06
Shahi chicken masala,Non-Veg,163.7,4.07,9.82,12.02
Tomato chicken,Non-Veg,111.68,2.13,10.57,6.71
Creamy chicken,Non-Veg,152.87,3.13,13.52,9.57
Broccoli chicken ala king,Non-Veg,119.56,5.34,7.97,7.57
Ginger chicken,Non-Veg,129.17,5.6,8.24,8.24
Chicken sweet and sour,Non-Veg,445.09,2.67,6.92,47.59
Chicken korma,Non-Veg,147.96,5.43,9.83,9.67
Bengal fish curry,Non-Veg,109.43,4.42,7.26,7.03
Fish finger,Non-Veg,542.9,4.47,5.66,55.82
Fish in coconut milk,Non-Veg,86.21,2.73,8.66,4.43
Prawn curry (with coconut),Non-Veg,109.55,3.1,8.54,6.93
Baked stuffed fish,Non-Veg,121.96,2.12,16.14,5.43
Fish pie,Non-Veg,120.9,7.74,9.25,5.77
Crispy baked fish,Non-Veg,138.4,9.59,10.95,6.41
Fish souffle,Non-Veg,139.71,5.14,10.51,8.55
Potato curry (Aloo ki sabzi),Veg,89.56,10.42,1.52,4.47
Egg curry (Anda curry),Egg,117.52,4.03,5.38,8.81
Vegetable curry with coconut,Veg,83.07,7.19,2.77,4.66
Curd with potatoes (Dahi aloo),Veg,59.9,7.15,1.56,2.72
Potato kofta curry (Aloo kofta curry),Veg,455.4,2.78,0.56,49.08
Yam kofta curry (Zimikand/Suran kofta curry),Veg,322.88,3.75,0.71,33.84
Jackfruit kofta curry (Kathal ka kofta curry),Veg,321.08,3.17,0.8,33.83
Spinach and potato (Palak aloo),Veg,57.17,5.91,1.63,2.82
Mooli bhujia,Veg,91.2,4.74,1.69,7.25
Bathua bhujia,Veg,90.9,3.63,2.26,7.29
Cabbage rolls (dry),Veg,142.48,6.09,8.21,9.36
Cabbage rolls (curry),Veg,124.63,7.03,5.76,8.17
Dry arbi (Sookhi arbi),Veg,134.95,11.11,2.12,8.97
Masala arbi,Veg,185.38,16.16,3.01,11.9
Peas brinjal bhartha (Matar baingan bhartha),Veg,84.55,5.02,2.05,6.05
Okra/Lady's fingers fry (Bhindi sabzi/sabji/subji),Veg,110.81,4.5,1.83,9.27
Crispy okra/Crispy lady's fingers (Karare bhindi),Veg,657.76,4.35,1.91,70.4
Beans foogath,Veg,105.06,3.26,2.03,9.22
Stuffed bittergourd (wet) (Bharwa karele),Veg,162.36,4.68,1.36,15.24
Jackfruit/Kathal (dry),Veg,488.97,4.56,0.93,51.78
Yam fried (Zimikand/Suran fried),Veg,491.76,5.47,0.79,51.79
Cauliflower, pea and potato bhujia,Veg,95.67,8.23,2.75,5.54
Vegetable jalfrezi,Veg,68.48,5.43,1.4,4.38
Vegetables stir fry,Veg,30.78,3.19,1.04,1.47
Broccoli delight,Veg,40.7,2.34,2.49,2.48
Dhansak (vegetarian),Veg,82.8,7.28,3.32,4.18
Cauliflower basket,Veg,90.95,3.97,5.21,5.88
Stuffed bottle gourd (Stuffed ghiya/lauki),Veg,93.19,4.36,5.84,5.8
Ducheese potato,Veg,140.54,10.94,3.6,9.01
Roast potatoes,Veg,87.32,14.52,1.53,2.35
Stuffed baked potatoes,Veg,100.2,11.03,3.82,4.39
Potato nests,Veg,111.62,11.05,5.71,4.77
Parsley potato,Veg,119.51,13.81,1.49,6.28
Creamed spinach and mushroom,Veg,419.62,3.17,2.28,44.14
Fricassee of Mushroom,Veg,106.66,8.13,3.65,6.63
Cauliflower au gratin,Veg,145.9,9.13,4.45,10.2
Vegetable and cheese pie,Veg,126.88,8.76,4.03,8.28
Spinach souffle,Veg,150.18,6.27,7.36,10.52
Beetroot and egg salad,Egg,84.92,3.4,3.36,6.45
Sour cream potato salad,Veg,121.9,9.05,2.89,8.13
Tossed green salad,Veg,49.88,3.82,1.33,3.24
Spring basket salad,Veg,160.46,11.61,3.36,11.3
Cucumber and yogurt salad,Veg,36.13,4.72,2.09,0.93
Chicken and tomato towers,Non-Veg,100.55,2.36,6.9,6.99
Jellied sunshine fruit salad,Veg,48.86,4.21,5.85,0.85
Tomato aspic,Veg,50.37,5.02,6.87,0.26
Frozen frosty fruit salad (Phalon ka salaad),Veg,103.51,15.61,1.68,4.17
French dressing,Veg,733.77,3.68,0.32,79.65
Mayonnaise without eggs,Veg,329.05,3.98,2.13,33.84
Curd dressing,Veg,78.8,8.03,5.59,2.9
Carrot raita (Gajar ka raita),Veg,64.78,7.19,4.14,2.19
Pumpkin raita (Kaddu ka raita),Veg,55.6,6.02,3.74,1.88
Mint and peanut raita,Veg,112.05,7.31,7.05,6.19
Spinach raita (Palak ka raita),Veg,52.75,5.06,3.95,1.86
Bathua raita,Veg,54.4,5.31,4.13,1.76
Pineapple raita (Ananas ka raita),Veg,67.74,8.62,3.9,2.02
Banana raita (Kele ka raita),Veg,89.03,13.51,4.13,2.07
Mango raita (Aam ka raita),Veg,67.37,8.23,3.9,2.14
Guava raita (Amarood ka raita),Veg,64.36,7.27,4.19,2.07
Grapes raita (Angoor ka raita),Veg,72.59,9.66,3.98,2.07
Bottle gourd kheer (Ghiya/Lauki kheer),Veg,84.07,10.0,2.7,3.86
Pumpkin kheer (Kaddu ki kheer),Veg,86.35,10.44,2.76,3.86
Apple kheer (Seb ki kheer),Veg,81.3,11.34,2.14,3.18
Caramel custard (baked),Veg,122.7,14.95,5.11,5.01
Vanilla ice cream without egg,Veg,228.67,14.21,2.69,18.15
Vanilla ice cream with egg,Egg,214.85,11.71,4.16,17.02
Strawberry ice cream,Veg,215.61,12.26,4.15,16.96
Chocochip ice cream,Veg,241.45,16.75,4.23,17.93
Choconut ice cream,Veg,273.96,23.13,5.04,18.49
Pear chocholate sunday,Veg,183.49,15.02,2.08,13.11
Chocolate sauce,Veg,263.2,43.21,1.91,10.39
Coffee ice cream,Veg,150.62,14.09,3.15,9.43
Coffee pear alaska,Veg,203.99,19.36,2.88,13.22
Crunchy butterscotch,Veg,277.32,19.92,3.11,20.99
Peach melba ice cream,Veg,200.85,16.31,2.06,14.51
Vanilla ice cream with apples in hot cherry sauce,Veg,196.32,22.75,1.73,11.45
Grape and orange whip,Veg,57.39,6.72,1.41,2.62
Honey banana cream,Veg,125.49,13.64,2.78,6.68
Raspberry bavarian cream,Veg,150.1,17.82,3.34,7.88
Fruit delight,Veg,107.09,9.11,2.09,7.09
Creamy chocolate mousse,Veg,230.52,9.53,6.85,18.16
Cold lemon souffle,Veg,169.87,15.62,5.89,9.78
Cold orange souffle,Veg,173.19,16.27,5.94,9.82
Cold pineapple souffle,Veg,181.22,16.85,6.23,10.39
Cold vanilla souffle,Veg,179.54,16.29,6.22,10.32
Cold chocolate souffle,Veg,187.53,17.22,6.37,10.86
Stewed fruit (with pear),Veg,74.32,18.22,0.25,0.32
Apricot fool,Veg,240.79,33.64,1.54,11.35
Pavlova,Veg,200.6,21.84,1.84,12.29
Apple crumb pudding,Veg,220.85,35.17,1.54,8.87
Steamed cake with chocolate sauce,Veg,301.91,29.06,4.49,19.01
Hot lemon souffle,Veg,155.25,16.31,5.29,7.93
Gulab jamun with milk powder,Veg,471.15,28.24,0.85,40.15
Chum chum,Veg,130.05,28.27,1.52,1.92
Dil bahar,Veg,130.05,28.27,1.52,1.92
Rasbhari,Veg,130.05,28.27,1.52,1.92
Rajbogh,Veg,133.7,28.16,1.71,2.28
Rasgulla,Veg,118.64,25.79,1.38,1.75
Rasmalai,Veg,135.55,29.17,1.61,2.11
Khoa coconut burfi,Veg,411.45,36.55,9.98,26.01
Danedar burfi,Veg,102.68,12.33,3.24,4.72
Semolina burfi (Suji/Rava burfi),Veg,348.67,47.1,3.47,16.86
Pumpkin coconut burfi (Kaddu aur nariyal ki burfi),Veg,186.18,17.02,1.75,12.66
Khoa ladoo,Veg,396.02,34.43,12.21,24.09
Wheat and gram flour ladoo (Atta besan ladoo),Veg,501.7,50.5,9.38,29.86
Semolina ladoo with nuts (Suji/Rava ladoo with nuts),Veg,441.84,48.02,5.44,25.45
Sesame chickpeas brittle (Til aur channe ki chikki),Veg,282.74,50.49,8.5,4.66
Murmura chikki,Veg,253.82,59.59,2.12,0.32
Masala onion pakora/pakoda (Pyaaz ke pakode),Veg,551.64,6.48,2.05,57.61
Masala green chilli pakora/pakoda,Veg,668.76,5.55,2.22,71.01
Chicken pakora/pakoda,Non-Veg,590.09,4.55,6.03,60.98
Fish pakora/pakoda,Non-Veg,577.03,4.55,5.97,59.52
Paneer cutlet,Veg,672.2,7.62,4.59,69.38
Sago cutlet/vadas (Sabudana cutlet/vadas),Veg,558.76,11.23,0.56,56.97
Poshtik cutlet,Veg,496.45,7.39,2.0,50.94
Egg cutlet (Anda cutlet),Egg,575.02,5.77,2.45,60.25
Minced meat cutlet,Non-Veg,531.86,5.61,5.1,54.47
Vegetable samosa,Veg,443.11,13.22,2.21,42.22
Plain urad dal vada,Veg,745.5,9.7,4.39,76.32
Masala urad dal vada,Veg,703.78,9.93,4.32,71.62
Khaman (dhokla),Veg,54.73,5.36,1.92,2.8
Instant dhokla,Veg,207.11,24.11,7.66,9.37
Tomato ginger chutney (Tamatar adarak ki chutney),Veg,44.66,9.11,1.05,0.32
Mint tomato chutney (Pudinay aur tamatar ki chutney),Veg,43.65,8.22,1.53,0.36
Coriander chutney (Hare dhaniye ki chutney),Veg,42.86,8.16,1.38,0.37
Gooseberry chutney (Amla chutney),Veg,43.02,8.83,1.44,0.62
Walnut chutney (Akhrot ki chutney),Veg,370.43,8.91,9.44,33.46
Saunth/Sonth chutney with ginger,Veg,84.22,20.62,0.28,0.11
Gun powder chutney,Veg,312.34,47.65,21.55,2.67
Dessicated coconut chutney (Sookhe kase nariyal ki chutney),Veg,346.36,36.72,12.88,15.88
Curd mint dip,Veg,76.13,9.11,4.82,2.44
Curd vegetable dip,Veg,56.21,6.04,3.88,1.94
Mayonnaise vegetable dip,Veg,241.27,4.8,3.01,23.44
Tomato and cucumber sandwich (Tamatar aur kheere ka sandwich),Veg,150.68,20.51,4.03,6.31
Tomato sandwich (grilled),Veg,189.92,21.29,6.26,9.39
French sandwich (toasted),Veg,186.75,14.82,6.82,11.51
Peanut butter cucumber sandwich,Veg,243.33,29.76,9.04,10.56
Mint and peanut sandwich,Veg,273.59,31.83,7.18,13.88
Spicy chutney sandwich,Veg,249.58,34.03,8.74,9.58
Chicken walnut sandwich (Chicken aur akhrot ke sandwich),Non-Veg,285.78,22.62,12.58,16.77
Rolled sandwich,Veg,293.07,34.69,6.45,15.29
Ribbon sandwich,Veg,239.26,24.76,6.26,13.37
Checker board sandwich,Veg,348.37,25.94,7.37,24.65
Submarine sandwich,Veg,216.92,13.6,6.09,15.32
Cheese open sandwich,Veg,274.07,28.42,9.84,14.24
Sunset and sunrise open sandwich,Veg,241.31,18.89,8.58,15.14
Danish luncheon sandwich,Veg,193.82,17.77,9.03,10.1
Chicken and corn open sandwich,Non-Veg,188.16,19.21,8.63,8.83
Chocolate sponge cake,Veg,239.86,39.54,9.13,5.51
Chocolate swiss roll,Veg,306.08,26.97,6.01,19.76
Lemon curd filling,Veg,225.62,26.41,3.43,12.58
Jam filling,Veg,184.62,46.15,0.0,0.0
Chocolate pastry,Veg,243.37,32.24,7.05,10.12
Assorted pastry,Veg,230.74,31.99,6.78,8.91
Orange gateau,Veg,178.05,27.01,4.78,6.02
Black forest gateau,Veg,217.82,30.57,5.94,8.58
Lemon cake,Veg,373.85,43.1,5.29,20.63
Dundee cake,Veg,396.62,41.4,7.78,22.7
Victorian sandwich cake,Veg,373.09,44.74,5.18,19.83
Chocolate eggless cake,Veg,312.01,43.45,6.66,13.19
Orange eggless cake,Veg,355.62,52.65,7.16,13.82
Chocolate glace icing,Veg,436.29,62.43,3.22,20.8
Butter icing,Veg,500.72,71.64,0.19,25.37
Chocolate butter icing,Veg,469.59,61.72,3.21,24.77
Almond biscuit (Badam ke biscuit),Veg,407.74,52.14,6.25,19.7
Orange biscuit,Veg,354.78,62.11,3.63,11.01
Gingerman biscuit,Veg,357.43,55.24,6.26,12.73
Coffee drops,Veg,443.07,43.06,7.57,27.16
Christmas biscuit,Veg,406.07,60.97,5.67,15.88
Christmas wreath biscuit,Veg,386.05,58.07,5.43,15.01
Christmas bell biscuit,Veg,404.85,60.79,5.66,15.84
Christmas star biscuit,Veg,392.03,74.54,3.54,10.04
Christmas tree biscuit,Veg,385.63,58.41,5.43,15.0
Chocolate cream shells,Veg,427.17,59.26,5.1,19.34
Jelly biscuit,Veg,404.61,55.24,4.23,19.33
Cherry and walnut cookies,Veg,422.6,59.35,5.63,18.75
Cheese straws,Veg,382.0,30.61,9.83,24.28
Butterfly biscuit,Veg,341.45,25.33,9.98,22.11
Flan pastry,Veg,445.8,47.84,6.72,25.04
Fruit flan,Veg,261.35,34.71,3.3,12.48
Orange cream flan,Veg,280.28,36.16,4.73,13.59
Fruit puree tart,Veg,286.5,30.42,3.35,16.83
Apple banana pie,Veg,243.99,32.12,3.13,11.39
Lemon chiffon pie,Veg,259.31,27.63,4.88,14.52
Orange chiffon pie,Veg,207.57,23.14,3.89,11.16
Cream buns,Veg,215.74,14.16,4.45,15.81
Savoury puffs,Veg,190.79,10.8,9.51,15.24
Choux swans,Veg,216.34,14.92,4.35,15.6
Potato aigrettes,Veg,530.03,8.01,2.35,54.24
Cream horns,Veg,408.23,23.12,3.42,33.55
Savoury cheese horns,Veg,295.15,21.38,5.66,20.71
Paneer patties,Veg,338.58,22.79,7.6,23.96
Vegetable patties,Veg,261.92,20.98,4.01,17.74
Pearl millet infant food (Bajra shishu aahaar),Veg,362.44,62.1,11.98,6.62
Sajina,Veg,345.26,66.87,10.81,3.03
Cereal mix,Veg,120.81,21.84,3.32,2.02
Pulse mix,Veg,83.29,16.0,3.16,0.54
Shishu ahar,Veg,93.37,17.42,2.61,1.43
Cereal pulse mix with amylase rice flour,Veg,151.57,27.8,4.27,2.74
Banana groundnut paste/puree,Veg,213.19,36.15,4.27,5.45
Rice dal porridge (Chawal dal ki khichdi/khichri),Veg,383.33,65.04,10.8,8.33
Lentils and semolina porridge (Dal suji porridge/daliya),Veg,117.29,23.19,3.26,1.06
Spinach khichri (Palak khichri/khichdi),Veg,102.18,17.35,3.43,1.91
Vegetable mix,Veg,174.21,36.02,4.7,0.94
Lentils and wheat porridge (Dal wheat porridge/daliya ),Veg,52.54,8.36,2.71,0.94
Maize porridge,Veg,89.57,15.64,2.14,1.89
Spinach peanut burfi (Palak aur mungfali ki burfi),Veg,105.37,13.59,3.36,4.39
Split bengal gram burfi/fudge (Channa dal burfi),Veg,287.36,54.63,4.65,7.09
Chickpea flour cookies (Sweet besan rounds/cookies),Veg,207.01,39.64,4.29,3.42
Pearl millet mathri (Bajra mathri),Veg,785.08,7.42,1.82,83.12
Sesame biscuit (Til ke biscuit),Veg,424.03,53.65,8.27,19.34
Fermented bengal gram vada (Khameerikrit/Ufna hua channa dal ka vada),Veg,657.57,8.68,4.05,67.19
Poshtik namak paras,Veg,613.39,19.52,6.49,56.58
Soya chikki,Veg,423.7,62.89,7.18,15.51
Besan bathua chilla/cheela,Veg,373.82,40.65,11.48,18.57
Wheat flour and nuts ladoos (Atta nuts ladoos),Veg,391.9,44.31,9.46,19.19
Gram flour and semolina dhokla (Besan suji dhokla),Veg,198.91,25.92,8.52,7.1
Atta dal burfi,Veg,298.8,40.64,6.66,12.47
Soya roti,Veg,283.96,40.03,9.18,9.23
Poshtik khichdi/khichri,Veg,93.37,15.64,3.04,1.88
Namkeen daliya,Veg,295.11,49.32,8.29,7.99
Sprouts upma,Veg,316.25,44.96,9.5,10.44
Semolina idli (Suji/Rava idli),Veg,206.39,33.67,9.34,3.47
Poshtik chilla/cheela,Veg,159.53,27.47,4.85,3.04
Stuffed bittergourd (dry) (Bharwa karela),Veg,217.65,2.49,1.29,22.38
Cauliflower potato canjee,Veg,16.79,2.63,0.57,0.39
Creamed spinach,Veg,96.91,4.44,5.18,6.39
Mango milkshake with ice cream,Veg,68.35,9.18,1.93,2.8
Pineapple milkshake with ice cream,Veg,68.49,9.33,1.93,2.75
Orange milkshake with ice cream,Veg,67.82,9.15,1.95,2.75
Woodapple juice (Bel ka sharbat),Veg,34.18,6.51,0.63,0.7
Sattu drink,Veg,23.38,5.16,0.56,0.14
Apple and honey sorbet (Seb aur shehad ka sharbat),Veg,121.3,30.74,0.15,0.29
Thandai,Veg,101.18,9.13,3.59,5.89
Cucumber sharbat (Kheere ka sharbat),Veg,27.28,6.64,0.26,0.06
Apple oats chia seed smoothie,Veg,85.64,13.07,3.49,2.48
Nannari sharbat,Veg,88.79,23.62,0.01,0.01
Semolina milk drink (Thari kanji),Veg,44.16,6.93,0.98,1.36
Saffron milk (Kesariya doodh),Veg,102.18,12.64,3.17,4.57
Black rice kheer (Chak-hao kheer),Veg,147.94,22.93,4.37,4.91
Coconut kheer (Nariyal ki kheer),Veg,162.61,14.42,3.4,10.55
Apple sago payasam (Seb aur sabudana ki kheer),Veg,136.5,14.4,3.13,7.66
Kesari bath,Veg,244.57,31.38,2.4,12.59
Putharekulu,Veg,318.3,59.61,3.66,7.55
Mango malpua,Veg,334.64,12.84,1.65,30.67
Mango vanilla custard,Veg,147.63,18.41,3.43,7.04
Kiwi granola pudding,Veg,280.99,32.33,5.6,15.36
Oats burfi,Veg,425.19,62.47,8.89,17.27
Lotus seed halwa (Kamal gattay ka halwa),Veg,370.55,39.56,7.79,20.69
Amaranth ladoo (Rajgira ladoo),Veg,454.15,51.33,10.12,22.7
Chhena poda,Veg,344.57,33.64,13.68,17.94
Sweet couscous dessert,Veg,196.2,29.69,3.81,7.69
Sweetened yogurt (Shrikhand),Veg,107.18,16.02,5.27,2.89
Thickened sweetened milk (Rabri),Veg,102.79,10.55,3.52,5.35
Gram flour halwa (Besan halwa),Veg,276.79,25.78,5.88,17.3
Prawn sandwich,Non-Veg,169.65,11.89,10.36,9.27
Watercress sandwich,Veg,229.42,28.03,5.17,11.47
Fish sandwich,Non-Veg,150.2,10.09,4.72,10.37
Kidney bean sandwich with cottage cheese,Veg,176.64,18.86,9.85,6.84
Finger millet biscuit (Ragi biscuit),Veg,458.56,52.69,4.03,25.79
Buttermilk biscuit,Veg,322.54,34.93,5.76,17.5
Lemon cookies,Veg,394.48,42.19,5.63,23.02
Sweet potato biscuit (Shakarkand ke biscuit),Veg,296.4,38.13,5.14,13.31
Raspberry shortbread cookies,Veg,441.12,61.25,3.0,21.25
Pumpkin cookies,Veg,218.4,44.69,2.51,3.93
Greenpea cookies,Veg,159.42,23.07,6.53,4.24
Sunflower cookies,Veg,520.62,40.06,9.49,36.28
Cardamom cookies (Elaichi cookies),Veg,400.49,53.99,5.1,19.12
Hazelnut cookies,Veg,493.32,39.44,6.25,34.97
Milk cookies,Veg,459.43,48.43,10.49,24.96
Cranberry cookies,Veg,272.48,36.39,3.92,12.66
Olive biscuit,Veg,438.29,55.01,3.2,23.75
Tutti fruitti biscuit,Veg,420.78,53.12,5.21,17.9
Peach blueberry preserves,Veg,177.38,45.76,0.53,0.2
Pear preserves (Naashpati ka murabba),Veg,101.24,25.67,0.25,0.19
Starfruit preserves,Veg,128.93,33.62,0.24,0.12
Gooseberry pickle (Amla ka achaar),Veg,278.58,7.61,1.55,27.61
Lotus stem pickle (Kamal kakdi ka achar),Veg,102.69,20.07,1.44,1.6
Date pickle (Khajoor ka achaar),Veg,182.29,34.66,1.68,4.21
Garlic pickle (Lahasun ka achar),Veg,413.62,9.75,3.72,39.88
Fermented bamboo shoot pickle (Mesu pickle),Veg,59.83,1.73,1.58,5.59
Sweet peach pickle (Aadoo ka achaar),Veg,144.64,37.01,0.46,0.2
Pickled mustard greens,Veg,13.12,1.05,1.51,0.22
Small onion pickle,Veg,16.86,2.76,1.65,0.64
Green tomato pickle (Haray tamatar ka achaar),Veg,193.26,2.87,1.23,19.67
