Dish Name,Category,Calories (kcal),Carbohydrates (g),Protein (g),Fats (g)
Keema parantha/paratha,Non-Veg,238.09,18.36,9.41,13.91
Paneer parantha/paratha,Veg,262.97,24.33,7.98,14.62
Besan and spinach parantha/paratha,Veg,216.49,21.39,5.54,12.09
Poori,Veg,737.63,8.22,1.35,77.61
Spinach poori (Palak poori),Veg,684.25,7.76,1.42,71.86
Methi poori,Veg,710.02,7.98,1.45,74.6
Dal stuffed poori,Veg,785.16,10.14,2.08,81.69
Potato stuffed poori (Aloo ki poori),Veg,776.74,9.4,1.52,81.35
Tandoori parantha/paratha,Veg,295.37,30.74,5.08,16.51
Boiled rice (Uble chawal),Veg,117.19,25.72,2.6,0.18
Plain pulao,Veg,140.21,21.82,2.34,4.62
Mixed vegetable pulao,Veg,113.05,17.49,2.72,3.33
Mushroom pulao,Veg,124.29,19.02,2.52,4.03
Sprouted moong pulao,Veg,112.97,17.49,2.19,3.61
Paneer pulao,Veg,581.91,8.76,1.98,59.81
Peanut pulao,Veg,193.28,21.18,5.32,9.51
Navratan pulao,Veg,261.71,36.98,6.2,9.45
Green chickpeas pulao,Veg,173.43,27.57,4.88,4.82
Mutton biryani/biriyani,Non-Veg,190.76,22.5,7.38,7.72
Vegetable biryani/biriyani,Veg,174.61,18.56,3.16,9.51
Lemon rice,Veg,176.3,21.62,4.26,7.88
Sweet rice (Meethe chawal),Veg,215.41,42.59,2.1,4.57
Curd rice (Dahi bhaat),Veg,195.74,32.93,5.75,4.32
Tamarind rice,Veg,373.04,65.08,7.45,8.53
Spanish rice,Veg,164.24,31.1,4.19,2.23
Chinese fried rice,Veg,120.58,13.4,4.05,5.43
Macroni cheese pie,Veg,170.63,21.1,5.85,7.48
Vegetable chowmein,Veg,129.71,15.44,3.07,6.36
Chicken chowmein,Non-Veg,151.33,13.3,6.33,8.23
Cheese noodle ring,Veg,133.67,13.96,6.22,6.12
Spaghetti and cheese balls in tomato sauce,Veg,508.32,7.82,2.41,52.08
Penne platter,Veg,177.4,20.87,5.04,8.71
Pasta hot pot,Veg,125.17,11.6,5.84,6.47
Chicken lasagne,Non-Veg,187.49,13.9,10.45,10.36
Fettuccine with spinach sauce,Veg,129.21,12.19,3.1,7.83
Naan,Veg,286.45,51.75,8.05,4.99
Bhatura,Veg,793.2,10.73,1.63,82.56
Idli,Veg,137.54,28.18,4.64,0.33
Masala dosa,Veg,164.58,19.57,3.29,7.84
Semolina dosa (Suji/Rava dosa),Veg,227.05,32.84,7.3,7.12
Onion tomato uttapam,Veg,462.02,11.32,1.91,45.3
Paneer kaathi roll,Veg,285.94,20.1,6.92,19.55
Makki ki roti,Veg,263.97,24.19,3.49,16.85
Washed moong dal,Veg,50.0,5.91,2.68,1.68
Washed urad dal,Veg,61.32,5.84,2.51,2.98
Split bengal gram with bottle gourd,Veg,73.25,7.1,2.79,3.6
Dry washed urad,Veg,124.71,15.66,6.85,3.5
Mixed dal,Veg,61.93,5.79,2.51,3.1
Whole moong (Moong ki dal),Veg,53.7,5.22,2.25,2.56
